name,symbol,tier,watchlist,exchange,chart_usd,chart_btc,spot_usd,spot_btc,perps
AXS,AXSUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3AAXSUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3AAXSBTC,https://www.binance.com/en/trade/AXS_USDT,https://www.binance.com/en/trade/AXS_BTC,https://www.binance.com/en/futures/AXSUSDT
BADGER,BADGERUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ABADGERUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ABADGERBTC,https://www.binance.com/en/trade/BADGER_USDT,https://www.binance.com/en/trade/BADGER_BTC,
BAKE,BAKEUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ABAKEUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ABAKEBTC,https://www.binance.com/en/trade/BAKE_USDT,https://www.binance.com/en/trade/BAKE_BTC,
BAL,BALUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ABALUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ABALBTC,https://www.binance.com/en/trade/BAL_USDT,https://www.binance.com/en/trade/BAL_BTC,https://www.binance.com/en/futures/BALUSDT
BAND,BANDUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ABANDUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ABANDBTC,https://www.binance.com/en/trade/BAND_USDT,https://www.binance.com/en/trade/BAND_BTC,https://www.binance.com/en/futures/BANDUSDT
BAR,BARUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ABARUSDT,,https://www.binance.com/en/trade/BAR_USDT,,
BAT,BATUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ABATUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ABATBTC,https://www.binance.com/en/trade/BAT_USDT,https://www.binance.com/en/trade/BAT_BTC,https://www.binance.com/en/futures/BATUSDT
BCH,BCHUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ABCHUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ABCHBTC,https://www.binance.com/en/trade/BCH_USDT,https://www.binance.com/en/trade/BCH_BTC,https://www.binance.com/en/futures/BCHUSDT
BEL,BELUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ABELUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ABELBTC,https://www.binance.com/en/trade/BEL_USDT,https://www.binance.com/en/trade/BEL_BTC,
BETA,BETAUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ABETAUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ABETABTC,https://www.binance.com/en/trade/BETA_USDT,https://www.binance.com/en/trade/BETA_BTC,
BETH,BETHUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ABETHUSDT,,https://www.binance.com/en/trade/BETH_USDT,,
BICO,BICOUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ABICOUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ABICOBTC,https://www.binance.com/en/trade/BICO_USDT,https://www.binance.com/en/trade/BICO_BTC,
BIFI,BIFIUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ABIFIUSDT,,https://www.binance.com/en/trade/BIFI_USDT,,
BLUEBIRD,BLUEBIRDUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ABLUEBIRDUSDT.P,,,,https://www.binance.com/en/futures/BLUEBIRDUSDT
BLUR,BLURUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ABLURUSDT.P,,,,https://www.binance.com/en/futures/BLURUSDT
BLZ,BLZUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ABLZUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ABLZBTC,https://www.binance.com/en/trade/BLZ_USDT,https://www.binance.com/en/trade/BLZ_BTC,
BNB,BNBUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ABNBUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ABNBBTC,https://www.binance.com/en/trade/BNB_USDT,https://www.binance.com/en/trade/BNB_BTC,https://www.binance.com/en/futures/BNBUSDT
BNT,BNTUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ABNTUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ABNTBTC,https://www.binance.com/en/trade/BNT_USDT,https://www.binance.com/en/trade/BNT_BTC,
BNX,BNXUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ABNXUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ABNXBTC,https://www.binance.com/en/trade/BNX_USDT,https://www.binance.com/en/trade/BNX_BTC,https://www.binance.com/en/futures/BNXUSDT
BOND,BONDUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ABONDUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ABONDBTC,https://www.binance.com/en/trade/BOND_USDT,https://www.binance.com/en/trade/BOND_BTC,
BSW,BSWUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ABSWUSDT,,https://www.binance.com/en/trade/BSW_USDT,,
BTC,BTCUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ABTCUSDT,,https://www.binance.com/en/trade/BTC_USDT,,https://www.binance.com/en/futures/BTCUSDT
BTCDOM,BTCDOMUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ABTCDOMUSDT.P,,,,https://www.binance.com/en/futures/BTCDOMUSDT
BTS,BTSUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ABTSUSDT,,https://www.binance.com/en/trade/BTS_USDT,,
BTTC,BTTCUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ABTTCUSDT,,https://www.binance.com/en/trade/BTTC_USDT,,
BURGER,BURGERUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ABURGERUSDT,,https://www.binance.com/en/trade/BURGER_USDT,,
BUSD,BUSDUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ABUSDUSDT,,https://www.binance.com/en/trade/BUSD_USDT,,
C98,C98USDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3AC98USDT,https://www.tradingview.com/chart/?symbol=BINANCE%3AC98BTC,https://www.binance.com/en/trade/C98_USDT,https://www.binance.com/en/trade/C98_BTC,https://www.binance.com/en/futures/C98USDT
CAKE,CAKEUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ACAKEUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ACAKEBTC,https://www.binance.com/en/trade/CAKE_USDT,https://www.binance.com/en/trade/CAKE_BTC,
CELO,CELOUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ACELOUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ACELOBTC,https://www.binance.com/en/trade/CELO_USDT,https://www.binance.com/en/trade/CELO_BTC,https://www.binance.com/en/futures/CELOUSDT
CELR,CELRUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ACELRUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ACELRBTC,https://www.binance.com/en/trade/CELR_USDT,https://www.binance.com/en/trade/CELR_BTC,https://www.binance.com/en/futures/CELRUSDT
CFX,CFXUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ACFXUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ACFXBTC,https://www.binance.com/en/trade/CFX_USDT,https://www.binance.com/en/trade/CFX_BTC,https://www.binance.com/en/futures/CFXUSDT
CHESS,CHESSUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ACHESSUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ACHESSBTC,https://www.binance.com/en/trade/CHESS_USDT,https://www.binance.com/en/trade/CHESS_BTC,
CHR,CHRUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ACHRUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ACHRBTC,https://www.binance.com/en/trade/CHR_USDT,https://www.binance.com/en/trade/CHR_BTC,https://www.binance.com/en/futures/CHRUSDT
CHZ,CHZUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ACHZUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ACHZBTC,https://www.binance.com/en/trade/CHZ_USDT,https://www.binance.com/en/trade/CHZ_BTC,https://www.binance.com/en/futures/CHZUSDT
CITY,CITYUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ACITYUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ACITYBTC,https://www.binance.com/en/trade/CITY_USDT,https://www.binance.com/en/trade/CITY_BTC,
CKB,CKBUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ACKBUSDT,,https://www.binance.com/en/trade/CKB_USDT,,https://www.binance.com/en/futures/CKBUSDT
CLV,CLVUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ACLVUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ACLVBTC,https://www.binance.com/en/trade/CLV_USDT,https://www.binance.com/en/trade/CLV_BTC,
COMBO,COMBOUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ACOMBOUSDT,,https://www.binance.com/en/trade/COMBO_USDT,,https://www.binance.com/en/futures/COMBOUSDT
COMP,COMPUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ACOMPUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ACOMPBTC,https://www.binance.com/en/trade/COMP_USDT,https://www.binance.com/en/trade/COMP_BTC,https://www.binance.com/en/futures/COMPUSDT
COS,COSUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ACOSUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ACOSBTC,https://www.binance.com/en/trade/COS_USDT,https://www.binance.com/en/trade/COS_BTC,
COTI,COTIUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ACOTIUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ACOTIBTC,https://www.binance.com/en/trade/COTI_USDT,https://www.binance.com/en/trade/COTI_BTC,https://www.binance.com/en/futures/COTIUSDT
CRV,CRVUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ACRVUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ACRVBTC,https://www.binance.com/en/trade/CRV_USDT,https://www.binance.com/en/trade/CRV_BTC,https://www.binance.com/en/futures/CRVUSDT
CTK,CTKUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ACTKUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ACTKBTC,https://www.binance.com/en/trade/CTK_USDT,https://www.binance.com/en/trade/CTK_BTC,
CTSI,CTSIUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ACTSIUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ACTSIBTC,https://www.binance.com/en/trade/CTSI_USDT,https://www.binance.com/en/trade/CTSI_BTC,
CTXC,CTXCUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ACTXCUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ACTXCBTC,https://www.binance.com/en/trade/CTXC_USDT,https://www.binance.com/en/trade/CTXC_BTC,
CVC,CVCUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ACVCUSDT,,https://www.binance.com/en/trade/CVC_USDT,,
CVP,CVPUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ACVPUSDT,,https://www.binance.com/en/trade/CVP_USDT,,
CVX,CVXUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3ACVXUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3ACVXBTC,https://www.binance.com/en/trade/CVX_USDT,https://www.binance.com/en/trade/CVX_BTC,https://www.binance.com/en/futures/CVXUSDT
